timestamp,G1,G2,G3,G4,G5,G6,total,label
1970-01-01 00:22:43,0,0,0,0,1,0,1,LOW
1970-01-01 00:22:44,1,0,0,0,0,0,1,LOW
1970-01-01 00:22:48,0,0,0,1,0,0,1,LOW
1970-01-01 00:22:50,0,0,0,0,0,1,1,LOW
1970-01-01 00:22:52,0,0,0,0,1,0,1,LOW
1970-01-01 00:22:55,1,0,0,0,0,0,1,LOW
1970-01-01 00:22:56,0,1,0,0,0,0,1,LOW
1970-01-01 00:22:59,0,0,0,1,0,0,1,LOW
1970-01-01 00:23:00,0,0,1,0,0,1,2,LOW
1970-01-01 00:23:02,0,0,0,0,1,0,1,LOW
1970-01-01 00:23:04,1,0,0,0,0,0,1,LOW
1970-01-01 00:23:08,0,0,0,1,0,0,1,LOW
1970-01-01 00:23:11,0,0,0,0,1,1,2,LOW
1970-01-01 00:23:18,1,0,0,1,0,0,2,LOW
1970-01-01 00:23:21,0,0,0,0,1,0,1,LOW
1970-01-01 00:23:22,0,1,0,0,0,1,2,LOW
1970-01-01 00:23:25,0,0,1,0,0,0,1,LOW
1970-01-01 00:23:27,0,0,0,1,0,0,1,LOW
1970-01-01 00:23:32,0,0,0,0,1,0,1,LOW
1970-01-01 00:23:33,0,0,0,0,0,1,1,LOW
1970-01-01 00:23:34,1,0,0,0,0,0,1,LOW
1970-01-01 00:23:36,0,0,0,1,0,0,1,LOW
1970-01-01 00:23:37,0,1,0,0,0,0,1,LOW
1970-01-01 00:23:38,0,0,1,0,0,0,1,LOW
1970-01-01 00:23:42,0,0,0,0,1,0,1,LOW
1970-01-01 00:23:45,0,0,0,0,0,1,1,LOW
1970-01-01 00:23:47,1,0,0,1,0,0,2,LOW
1970-01-01 00:23:48,0,0,1,0,0,0,1,LOW
1970-01-01 00:23:50,0,1,0,0,0,0,1,LOW
1970-01-01 00:23:51,0,0,0,0,1,0,1,LOW
1970-01-01 00:23:54,0,0,0,0,0,1,1,LOW
1970-01-01 00:23:57,0,0,0,1,0,0,1,LOW
1970-01-01 00:23:58,1,0,0,0,0,0,1,LOW
1970-01-01 00:24:00,0,1,0,0,1,0,2,LOW
1970-01-01 00:24:04,0,0,0,0,0,1,1,LOW
1970-01-01 00:24:06,0,0,0,1,0,0,1,LOW
1970-01-01 00:24:07,1,0,0,0,0,0,1,LOW
1970-01-01 00:24:10,0,0,1,0,1,0,2,LOW
